province,demographic_group,party,percentage
lleida,unemployed,abstain,19.89
lleida,unemployed,vox,0.5
lleida,unemployed,csqp,10.12
lleida,unemployed,jxsi,38.37
lleida,unemployed,cup,1.42
lleida,unemployed,cs,12.89
lleida,unemployed,psc,5.86
lleida,unemployed,ac,0.2
lleida,unemployed,ppc,9.76
lleida,unemployed,unio,1.0
lleida,young,abstain,20.71
lleida,young,vox,0.99
lleida,young,csqp,7.15
lleida,young,jxsi,35.22
lleida,young,cup,11.47
lleida,young,cs,12.64
lleida,young,psc,4.21
lleida,young,ac,0.5
lleida,young,ppc,5.33
lleida,young,unio,1.77
tarragona,buss,abstain,19.1
tarragona,buss,vox,0.29
tarragona,buss,csqp,5.52
tarragona,buss,jxsi,40.91
tarragona,buss,cup,7.93
tarragona,buss,cs,17.51
tarragona,buss,psc,2.88
tarragona,buss,ac,0.19
tarragona,buss,ppc,4.89
tarragona,buss,unio,0.77
tarragona,ind,abstain,19.55
tarragona,ind,vox,0.49
tarragona,ind,csqp,10.29
tarragona,ind,jxsi,21.02
tarragona,ind,cup,8.53
tarragona,ind,cs,24.09
tarragona,ind,psc,12.56
tarragona,ind,ac,0.3
tarragona,ind,ppc,2.58
tarragona,ind,unio,0.59
tarragona,middle,abstain,19.59
tarragona,middle,vox,0.4
tarragona,middle,csqp,8.92
tarragona,middle,jxsi,27.97
tarragona,middle,cup,13.97
tarragona,middle,cs,13.97
tarragona,middle,psc,10.77
tarragona,middle,ac,0.2
tarragona,middle,ppc,3.61
tarragona,middle,unio,0.59
tarragona,retired,abstain,19.61
tarragona,retired,vox,0.2
tarragona,retired,csqp,1.95
tarragona,retired,jxsi,37.97
tarragona,retired,cup,1.03
tarragona,retired,cs,13.57
tarragona,retired,psc,13.41
tarragona,retired,ac,0.49
tarragona,retired,ppc,10.31
tarragona,retired,unio,1.45
tarragona,rural,abstain,19.77
tarragona,rural,vox,0.69
tarragona,rural,csqp,0.98
tarragona,rural,jxsi,46.13
tarragona,rural,cup,5.32
tarragona,rural,cs,11.02
tarragona,rural,psc,7.68
tarragona,rural,ac,0.2
tarragona,rural,ppc,7.72
tarragona,rural,unio,0.49
tarragona,unemployed,abstain,19.34
tarragona,unemployed,vox,0.98
tarragona,unemployed,csqp,5.46
tarragona,unemployed,jxsi,22.53
tarragona,unemployed,cup,3.94
tarragona,unemployed,cs,28.35
tarragona,unemployed,psc,8.28
tarragona,unemployed,ac,0.49
tarragona,unemployed,ppc,9.65
tarragona,unemployed,unio,0.98
tarragona,young,abstain,19.51
tarragona,young,vox,0.49
tarragona,young,csqp,16.07
tarragona,young,jxsi,25.36
tarragona,young,cup,10.76
tarragona,young,cs,16.67
tarragona,young,psc,4.57
tarragona,young,ac,0.2
tarragona,young,ppc,5.49
tarragona,young,unio,0.89
