province,middle,retired,underage,young,unemployed,buss,rural,ind
Barcelona,674666.2235552724,887550.0,889490.0,655235.0,230736.81,275518.1436508442,339015.0,897788.8227938834
Catalunya,909823.4385546369,1360363.964,1389611.039,1018398.16,343154.434575,431357.9153619112,747675.232,1299615.816508452
Girona,43032.541081081086,102120.0,116580.0,83700.0,20991.96,44420.68756756757,113460.0,75694.81135135135
Lleida,23027.94153073364,70946.0,68590.0,52668.0,9139.532,13653.735243886316,101574.0,40400.79122538004
Tarragona,60299.664571793786,119059.0,128640.0,90651.0,35225.25,34189.65466553047,96815.0,105120.43076267577
