province,middle,retired,underage,young,unemployed,buss,rural,ind
Barcelona,135766667613.938,199400482932.188,199836330982.313,147207678929.719,92290824613.969,69299839969.875,76164446759.344,166167069110.156
Catalunya,546063546875.0,912957856250.0,932585946875.0,683460181250.0,412693187500.0,320088862500.0,501774521875.0,708121115625.0
Girona,3155593.031,8565900.063,9778815.406,7020817.031,3880322.531,3744435.75,9517107.531,4665446.156
Lleida,185220.465,626461.245,605657.498,465064.428,186562.642,157034.742,896909.967,266086.646
Tarragona,4071570.594,8943363.344,9663060.0,6809437.594,4318179.938,2752965.531,7272459.219,6220594.875
