province,middle,retired,underage,young,unemployed,buss,rural,ind
Barcelona,620783.994227461,887550.0,889490.0,655235.0,378325.22,253513.882459382,339015.0,826086.9033131571
Catalunya,836831.9536536434,1360363.964,1389611.039,1018398.16,555014.9985300001,396751.8001181872,747675.232,1195352.8526981692
Girona,38078.45621621622,102120.0,116580.0,83700.0,39774.240000000005,39306.79351351351,113460.0,66980.51027027027
Lleida,21894.575280898876,70946.0,68590.0,52668.0,12933.3,12981.739325842696,101574.0,38412.385393258424
Tarragona,55404.750624201115,119059.0,128640.0,90651.0,51428.865,31414.259169152112,96815.0,96587.1252066468
