province,middle,retired,underage,young,unemployed,buss,rural,ind
Barcelona,1383.0731658350455,1830,1834,1351,472.194,705.9667202817728,699,1692.7661138831818
Catalunya,1211.9463874680305,1814,1853,1358,454.02,710.4128132992327,997,1571.6207992327365
Girona,741.9047075718016,1702,1943,1395,349.866,880.3462558746737,1891,1096.8830365535248
Lleida,644.8279492553778,1867,1805,1386,251.11399999999998,546.7019569773855,2673,926.3560937672365
Tarragona,915.2748842592592,1777,1920,1353,517.5,618.8570601851852,1445,1398.3680555555554
